"X1","X2","X3","X4","X","Market","Channel","Region","Category","SubCategory","Brand","Variant","PackType","PPG","MCV","Price_elas","Revenue","Volume","Price","CSF","daddies","hp","private.label","restofcategory","gold.star","branston","Revenue_Total","Volume_Total","Price_ModelPeriod","CS","MShare","NewMShare","MSP","Compname"
NA,NA,NA,NA,1,"uk","convenience","all","brown sauce","all","hp","all","all","all",13.9373762581562,-4.10039274325781,1829089.51,291265.21,6.27980770514954,2.21939538797141,0.037069133952237,NA,0.0224439631418411,0.145637160470016,NA,NA,5513650.7,931687.61,5.91791780938248,2944281.16634044,0.987386892781919,0.987386892781919,0,"hp"
NA,NA,NA,NA,2,"uk","iceland","all","brown sauce","all","daddies","all","all","all",6.28616278117837,-7.40179539149611,592215.85,157849.02,3.7517866756474,1.67551178268782,NA,0.800445497535246,NA,0.0954838142764279,NA,NA,1873245.08,633646.825,2.95629206380068,792240.24228474,0.285180269098858,0.277445431092712,-0.00773483800614588,"daddies"
NA,NA,NA,NA,3,"uk","iceland","all","brown sauce","all","hp","all","all","all",10.057852079098,-6.55928012216958,1276066.33,223584.975,5.7072991152469,1.76227877249831,NA,NA,NA,0.0688810607928012,3.34723659330548,NA,4214588.22,762072.55,5.53042911728024,1762425.46782941,0.61448699722811,0.617207846297415,0.00272084906930536,"hp"
NA,NA,NA,NA,4,"uk","iceland","all","brown sauce","all","restofcategory","all","all","all",4.52276452352268,-5.32544903978273,136518.87,58525,2.3326590346006,1.93888796280811,4.5045870925505,1.75395320186456,NA,NA,7.72138164718437,NA,188599.57,77769.5,2.42510971524827,200606.831869582,0.0657403682857729,0.070253246398705,0.00451287811293205,"restofcategory"
NA,NA,NA,NA,5,"uk","iceland","all","brown sauce","all","gold star","all","all","all",3.31914667391008,-6.32959302355878,71835.78,38739.4,1.85433383067368,1.78994020332587,0.521448705207578,8.25573525610335,NA,NA,NA,NA,211229.05,123993.55,1.70354869265377,100208.765329636,0.0345923653872594,0.0350934762111678,0.000501110823908434,"gold star"
NA,NA,NA,NA,6,"uk","supermarket","all","brown sauce","all","daddies","all","all","all",8.94976342910762,-4.48074487654434,3988962.95,943062.965,4.22979493209131,2.11588589347585,NA,6.29140708161748,NA,1.776301270985,NA,6.25734049169249,11661168.24,3126997.59,3.72919003113143,6214576.6927514,0.103071522004271,0.0992026858269045,-0.00386883617736603,"daddies"
NA,NA,NA,NA,7,"uk","supermarket","all","brown sauce","all","private label","all","all","all",5.22451545758868,-3.84570027567231,3671351.47,1616354.925,2.27137704300929,2.30015332490411,6.72389047364649,1.34677578953273,NA,0.161850369209003,NA,0.788764852050281,9951986.63,4829466.46,2.06068034894273,6058011.38030605,0.0948647025727617,0.0967034489086405,0.0018387463358788,"private label"
NA,NA,NA,NA,8,"uk","supermarket","all","brown sauce","all","restofcategory","all","all","all",5.56993544426829,-4.44548297772138,694668.05,264991.767,2.62147031156632,2.1247371826768,0.361605951049215,4.8541698193654,2.06764212466997,NA,NA,0.560956030954939,1949659.42,763953.005,2.55206721779961,1085327.54272629,0.0179496510994765,0.0173249784439774,-0.000624672655499106,"restofcategory"
NA,NA,NA,NA,9,"uk","supermarket","all","brown sauce","all","branston","all","all","all",9.67109767404419,-4.32673401080852,552606.5,123171.325,4.48648660717095,2.15560605008526,0.414572470491284,1.56611013713011,NA,3.67303193429826,NA,NA,1658346.19,409523.85,4.04944959860091,871904.207358221,0.014278897482478,0.0139181224128428,-0.000360775069635175,"branston"
NA,NA,NA,NA,14,"uk","supermarket","all","brown sauce","all","hp","all","all","all",13.536039351216,-3.99972933255962,29793333.19,4952521.054,6.01579132428662,2.25008458929901,0.415105639462466,NA,0.714185784793126,0.802142414400287,NA,0.661201600341954,89684376.46,15463553.361,5.79972625736781,48415426.5323349,0.769835226841013,0.772850764407635,0.00301553756662165,"hp"
NA,NA,NA,NA,10,"uk","tesco","all","brown sauce","all","daddies","all","all","all",7.59028279131481,-4.88725368779237,1839330.52,490244.37,3.75186464660471,2.02306946178981,NA,2.43375081619209,0.333996379732942,3.06379276347057,NA,NA,5154990.3,1374147.455,3.75140985142675,2780211.96257499,0.119668953606977,0.11195312310596,-0.00771583050101755,"daddies"
NA,NA,NA,NA,11,"uk","tesco","all","brown sauce","all","hp","all","all","all",13.3289782563114,-4.01180366588533,12277179.7,2069063.425,5.93368939378937,2.24632220726998,0.433063351036799,NA,NA,0.940282509028386,NA,NA,36556298.96,6392867.635,5.71829436290214,19927840.5513771,0.798767394967068,0.802451042048591,0.00368364708152302,"hp"
NA,NA,NA,NA,12,"uk","tesco","all","brown sauce","all","private label","all","all","all",5.84675260316155,-3.4765002627838,1151865.44,480353.925,2.39795155207694,2.43822799426348,3.1642579120296,0.90568624859116,NA,NA,NA,NA,2651701.22,1244392.71,2.13091992478805,1980188.00071631,0.0749416868811813,0.0797378883341734,0.00479620145299205,"private label"
NA,NA,NA,NA,13,"uk","tesco","all","brown sauce","all","restofcategory","all","all","all",2.77922112058847,-5.82349744167325,101780.63,68065.3,1.49533800629689,1.85859057208813,NA,6.15023736569506,0.927583434289182,NA,NA,NA,265658.86,174058.48,1.52626209306206,145474.574669595,0.00662196454477302,0.00585794651127542,-0.0007640180334976,"restofcategory"
