year,24,,,,
Custom Subcategory Value,(Multiple Items),,,,
,,,,,
Row Labels,Sum of Dollar Sales,Val MS%,Sum of Volume Sales,,Price
HELLMANNS," 1,87,11,833 ",38.15%," 44,16,691 ",, 4.24 
BEST FOODS," 89,21,697 ",18.19%," 21,19,669 ",, 4.21 
KRAFT," 53,59,517 ",10.93%," 13,83,799 ",, 3.87 
PRIVATE LABEL," 41,68,229 ",8.50%," 18,57,504 ",, 2.24 
MIRACLE WHIP," 33,35,752 ",6.80%," 8,68,369 ",, 3.84 
PRIMAL KITCHEN," 27,20,184 ",5.55%," 2,23,988 ",, 12.14 
KEWPIE," 24,50,665 ",5.00%," 4,00,179 ",, 6.12 
DUKES," 13,84,738 ",2.82%," 4,19,370 ",, 3.30 
LEE KUM KEE," 13,30,317 ",2.71%," 1,79,244 ",, 7.42 
SIR KENSINGTONS," 4,27,276 ",0.87%," 38,579 ",, 11.08 
CHOSEN FOODS," 1,12,449 ",0.23%," 10,013 ",, 11.23 
BOARS HEAD," 57,557 ",0.12%," 7,788 ",, 7.39 
BLUE PLATE," 50,363 ",0.10%," 18,682 ",, 2.70 
MCCORMICK," 14,687 ",0.03%," 3,061 ",, 4.80 
Grand Total," 4,90,45,267 ",100.00%," 1,19,46,938 ",,
