,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Time,Sector,Sub Sector,Size Group,MAJOR BRAND_Sauces2 [ MAJOR BRAND_Sauces2 ],Product,Geography,Value Sales,Unit Sales,Volume Sales,Average Weekly ACV Distribution
"1 w/e 05 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,0 - 350 GR,BRANSTON,BRANSTON FLAVOURED BROWN SAUCE FRUITY 1 CT 245 GR 5060336506565,Morrisons GB,2654.1,3313,811.6850000000001,67.69967501633899
"1 w/e 05 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,0 - 350 GR,BRANSTON,BRANSTON FLAVOURED BROWN SAUCE FRUITY 1 CT 245 GR 5060336506565,Sainsburys GB,2134.04,2697,660.7649999999996,53.812906260881746
"1 w/e 05 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,351 - 500 GR,PRIVATE LABEL,PL STANDARD FLAVOURED BROWN SAUCE FRUITY 1 CT 445 GR 5057753923136,Tesco GB,5155.58,5742,2555.1899999999996,72.9880566433685
"1 w/e 05 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,351 - 500 GR,HP,HP FLAVOURED BROWN SAUCE FRUITY 1 CT 470 GR 5000111047340,Asda GB,12959.25,5664,2662.0799999999995,91.88138453824256
"1 w/e 05 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,351 - 500 GR,HP,HP FLAVOURED BROWN SAUCE FRUITY 1 CT 470 GR 5000111047340,Iceland GB,2223.69,1112,522.6400000000002,23.659397987326138
"1 w/e 05 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,351 - 500 GR,HP,HP FLAVOURED BROWN SAUCE FRUITY 1 CT 470 GR 5000111047340,Morrisons GB,73.6,32,15.039999999999997,2.37583725878705
"1 w/e 05 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,351 - 500 GR,HP,HP FLAVOURED BROWN SAUCE FRUITY 1 CT 470 GR 5000111047340,Sainsburys GB,10387.39,4529,2128.63,84.45252265872517
"1 w/e 05 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,351 - 500 GR,HP,HP FLAVOURED BROWN SAUCE FRUITY 1 CT 470 GR 5000111047340,Tesco GB,19940.37,9970,4685.899999999999,80.44793398154985
"1 w/e 05 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,351 - 500 GR,HP,HP FLAVOURED BROWN SAUCE FRUITY 1 CT 470 GR 5000111047340,The Cooperative Group GB,2244.95,985,462.9499999999999,28.22904418830723
"1 w/e 05 Mar, 2022",BROWN SAUCE,FLAVOURED BROWN SAUCE,351 - 500 GR,HP,HP FLAVOURED BROWN SAUCE FRUITY 1 CT 470 GR 5000111047340,Waitrose GB,165.6,72,33.84,7.854691745165325
