Market,Channel,Region,Category,SubCategory,Brand,Variant,PackType,PPG,PackSize,Year,Month,Week,Date,BrCatId,SalesValue,Volume,VolumeUnits,D1,D2,D3,D4,D5,D6,AV1,AV2,AV3,AV4,AV5,AV6,EV1,EV2,EV3,EV4,EV5,EV6,PrepDate,ProjCode
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2023,December,48,2023-12-02 00:00:00,Brand,2359.25,571.6000000000001,1429,28.44810715888904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2023,December,49,2023-12-09 00:00:00,Brand,1048.83,254,635,15.88615730926312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2023,December,50,2023-12-16 00:00:00,Brand,624.66,151.2,378,9.95893401185809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2023,December,51,2023-12-23 00:00:00,Brand,465.7,112.8,282,7.523847395604031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2023,December,52,2023-12-30 00:00:00,Brand,2225.61,541.5999999999999,1354,27.81949102174556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2023,November,46,2023-11-18 00:00:00,Brand,1592.61,386.0000000000001,965,23.32494475635265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2023,November,47,2023-11-25 00:00:00,Brand,3012.77,730.0000000000001,1825,33.23378717273919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,April,14,2024-04-06 00:00:00,Brand,2785.54,676.4000000000001,1691,31.62662897140392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,April,15,2024-04-13 00:00:00,Brand,1537.62,372.8000000000001,932,21.69053389679619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
UK,Convenience,AllRegion,BROWN SAUCE,AllSubCategory,DADDIES,STANDARD BROWN SAUCE,AllPackType,Medium,351 - 500 GR,2024,April,16,2024-04-20 00:00:00,Brand,929.12,225.2,563,15.09821234991382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25-04-2025,Ukbrownsaucekhc
