method	Channel	Brand	Variant	PackType	PPG	selectedmodels	formula_1	RPIto	Adj.Rsq	AIC	Pr_Var_Sig	MAE	MCV.MCV	CSF.CSF	Price_elas	Distribution_elas	Category_elas	daddies	hp	private.label	restofcategory	gold.star	branston	beta0	beta0_pval	actualdistvar	categoryavgprice	lastyravgprice	rpito_avgprice	Market	MCV.Original.MCV.Original	avg.vol	model	Price_beta	Distribution_beta	Category_beta	Trend_beta	Seasonality_beta	dummy_beta	CompPr1_beta	CompPr2_beta	CompPr3_beta	beta0_avg	Price_avg	Distribution_avg	Category_avg	Trend_avg	Seasonality_avg	dummy_avg	CompPr1_avg	CompPr2_avg	CompPr3_avg	Trend_elas	Seasonality_elas	dummy_elas	CompPr1_elas	CompPr2_elas	CompPr3_elas	cal1.cal1	CoeffA.CoeffA	CoeffB.CoeffB	CoeffC.CoeffC	Price_pval	Distribution_pval	Category_pval	Trend_pval	Seasonality_pval	dummy_pval	CompPr1_pval	CompPr2_pval	CompPr3_pval	Rsq	BIC	Price_VIF	Distribution_VIF	Category_VIF	Trend_VIF	Seasonality_VIF	dummy_VIF	CompPr1_VIF	CompPr2_VIF	CompPr3_VIF	Yvar	Region	Category	SubCategory	PackSize	formula_2	formula_3	formula_4	formula_5	actualAVvar	actualEVvar	PriceVar	compname1	compname2	compname3	Revenue	Volume	CompPr4_beta	CompPr4_avg	CompPr4_elas	CompPr4_pval	CompPr4_VIF	compname4	Model_MCV	Index	Product					
BayesRidge	convenience	daddies	all	all	all	1	Price	OwnPrice	0.986654801243028	-25.6904040168796	0.0152433018856568		36.8124504822712	8.9389943789318	-0.588512604881953	5.07846720506453	1.65755867550399		-0.151901058699767	-0.105692941660778	0.240532546548985			-71.9329871871636	No	daddies.D1.wt.mean	6.10655392039192	4.11818700423775	6.10655392039192	uk	36.8124504822712	300.506121477995	1	-9.12054056949979	21.4680699731994	0.0173704702148956	0.154577889069952	0	0	-1.46084885481417	-10.8115946800291	2.30310762244468	300.506121477995	3.87809557967213	14.2174912300204	5735.09551020408	25	0	0	6.24940736994655	0.587542853872413	6.27686712928648	0.0642989768019048	0	0	-0.151901058699767	-0.105692941660778	0.240532546548985	335.749448086257	-4.56027028474989	0	6179.87996606261	No	Yes	No	No			No	No	No	0.986654801243028											VolKalman	all	brown sauce	all	all	Dist1	NetSeg	Trend	Seasonality				Price1_hp	Price1_private label	Price1_restofcategory	22956.57	5574							36.8124504822712	1						
Ridge	convenience	hp	all	all	all	1	Price	OwnPrice			0.682130230062861	0.368531249714528	13.2601915645197	2.11156012844886	-4.1968754304033	-0.623186248723836	-0.197983016378882	0.00577560671754988		-0.139327465696757	-0.020065419842309			7181.88302100352		hp.D1.wt.mean	6.26804796684596	6.27980770514954	6.26804796684596	uk	13.2601915645197	5972.35646920129	1	-828.449848645862	-9.36011850362075	-0.510295139485447	-8.72480345401451	0.954305901576385	0	5.66347958922019	-83.9466021108314	-3.57089724383805	5972.35646920129	6.05111731704009	79.5265663066842	463.427948717949	78.5	5923.43846955128	0	1.21811976540984	1.9824823641887	6.71191758369674	-0.573389310125802	4.73244716576115	0	0.00577560671754988	-0.139327465696757	-0.020065419842309	10985.4036946415	-414.224924322931	0	72834.2787022646																					VolKalman	all	brown sauce	all	all	Dist1	NetSeg	Trend	Seasonality				Price1_daddies	Price1_private label	Price1_restofcategory	1829089.51	291265.21							13.2601915645197	1						
Ridge	convenience	hp	all	all	all	1	PrRelSeg	Segment			0.0219382107463586	0.49648068969898	13.4502710430623	2.141828488161	-4.625833970594	-0.460575981789154	-0.0425200581257738	0.0354290552264455		-0.191125496957687	0.222273945068212			7605.56228444855		hp.D1.wt.mean	6.26804796684596	6.27980770514954	6.26804796684596	uk	2.1458468592145	5972.35646920129	2	-5358.15606215056	-6.91774855157047	-0.109594142917278	-17.1264846268891	0.972080322380201	0	210.523072482927	-638.357395481558	223.89729775954	5972.35646920129	1.03121779654323	79.5265663066842	463.427948717949	78.5	5923.43846955128	0	0.201018296649182	0.357627124323816	1.18581085796643	-1.12554320069796	4.82059134177128	0	0.0354290552264455	-0.191125496957687	0.222273945068212	11497.7823571469	-2679.07803107528	0	12336.2400795078																					VolKalman	all	brown sauce	all	all	Dist1	NetSeg	Trend	Seasonality			Seg	Price1_daddies	Price1_private label	Price1_restofcategory	1829089.51	291265.21							13.4502710430623	1						
Ridge	convenience	hp	all	all	all	1	Price	OwnPrice			0.76014653569073	0.295015188762779	14.6798287092395	2.33762392074551	-3.50638527701276	2.6249950051726	-0.152594051768831	-0.00384067956286046		0.0378966227993825	0.0292183417708233			2680.96505717988		hp.D1.sum	6.26804796684596	6.27980770514954	6.26804796684596	uk	14.6798287092395	5972.35646920129	7	-692.14929063457	21.2084219341396	-0.393306478284018	-2.54272085705438	0.785098097829098	0	-3.76611694264092	22.8332059265905	5.19977637741493	5972.35646920129	6.05111731704009	147.841324068788	463.427948717949	78.5	5923.43846955128	0	1.21811976540984	1.9824823641887	6.71191758369674	-0.167106223739407	3.89333782991217	0	-0.00384067956286046	0.0378966227993825	0.0292183417708233	10160.6330277372	-346.074645317285	0	74578.1762123117																					VolKalman	all	brown sauce	all	all	Dist2	NetSeg	Trend	Seasonality				Price1_daddies	Price1_private label	Price1_restofcategory	1829089.51	291265.21							14.6798287092395	1						
Ridge	convenience	hp	all	all	all	1	PrRelSeg	Segment			0.383621599798744	0.328281067284982	9.8301416021793	1.56535710386775	-9.60029430942938	4.02481545307838	0.143718515480312	0.0138286379927426		0.0413123575665141	0.157563088343994			8718.59573803869		hp.D1.sum	6.26804796684596	6.27980770514954	6.26804796684596	uk	1.56829393364163	5972.35646920129	8	-11120.1300088799	32.518151146089	0.370430056299971	-7.1831725049328	0.68400350126229	0	82.1711823778258	137.982892900999	158.713832590868	5972.35646920129	1.03121779654323	147.841324068788	463.427948717949	78.5	5923.43846955128	0	0.201018296649182	0.357627124323816	1.18581085796643	-0.472074167495761	3.39200504321761	0	0.0138286379927426	0.0413123575665141	0.157563088343994	17439.6324342327	-5560.06500443996	0	13675.2348757735																					VolKalman	all	brown sauce	all	all	Dist2	NetSeg	Trend	Seasonality			Seg	Price1_daddies	Price1_private label	Price1_restofcategory	1829089.51	291265.21							9.8301416021793	1						
Ridge	convenience	hp	all	all	all	1	Price	OwnPrice			0.714514224198516	0.365297922437647	13.2638146219909	2.1121370660943	-4.19476727027388	-0.918560685779775	-0.200414598518857	0.00675461346497364		-0.131047469710101	-0.0124832247924364			7437.36609742649		hp.D1.max	6.26804796684596	6.27980770514954	6.26804796684596	uk	13.2638146219909	5972.35646920129	13	-828.033704547926	-12.1260969567151	-0.516562467713815	-8.84146789172379	0.968953029149556	0	6.62347998448523	-78.9577973185021	-2.22154898107491	5972.35646920129	6.05111731704009	90.4820714142949	463.427948717949	78.5	5923.43846955128	0	1.21811976540984	1.9824823641887	6.71191758369674	-0.581056433151199	4.80508294979611	0	0.00675461346497364	-0.131047469710101	-0.0124832247924364	10982.8855578841	-414.016852273963	0	72837.4790271581																					VolKalman	all	brown sauce	all	all	Dist3	NetSeg	Trend	Seasonality				Price1_daddies	Price1_private label	Price1_restofcategory	1829089.51	291265.21							13.2638146219909	1						
Ridge	convenience	hp	all	all	all	1	PrRelSeg	Segment			0.108030336856687	0.476841772997848	10.622648857014	1.69155639085943	-7.77090315354668	-2.79553385284973	0.0395232538353573	0.0419058522566895		-0.152842860199702	0.223782066956454			13518.3109575518		hp.D1.max	6.26804796684596	6.27980770514954	6.26804796684596	uk	1.6947299882198	5972.35646920129	14	-9001.1254414335	-36.904382116744	0.101869971968887	-17.1615934311211	1.0535327976469	0	249.008863366718	-510.493742112464	225.416434045918	5972.35646920129	1.03121779654323	90.4820714142949	463.427948717949	78.5	5923.43846955128	0	0.201018296649182	0.357627124323816	1.18581085796643	-1.12785053210594	5.22451793918974	0	0.0419058522566895	-0.152842860199702	0.223782066956454	15254.4772133255	-4500.56272071675	0	12926.1099940192																					VolKalman	all	brown sauce	all	all	Dist3	NetSeg	Trend	Seasonality			Seg	Price1_daddies	Price1_private label	Price1_restofcategory	1829089.51	291265.21							10.622648857014	1						
Ridge	convenience	hp	all	all	all	1	Price	OwnPrice			0.745077156051963	0.364740667437727	13.6261522819242	2.16983591245167	-3.99411840677402	-8.18881372266678	-0.0562528055080988	0.0276176207510104		-0.137674121135095	-0.0162954174395353			16230.5658260344		rel.D1.wtmean.hp.Cat	6.26804796684596	6.27980770514954	6.26804796684596	uk	13.6261522819242	5972.35646920129	19	-788.426257685618	-9550.36351791625	-0.144989877203754	-10.0226618602307	0.894556165307303	0	27.0814546549534	-82.9504406047288	-2.8999772583543	5972.35646920129	6.05111731704009	1.02418121613708	463.427948717949	78.5	5923.43846955128	0	1.21811976540984	1.9824823641887	6.71191758369674	-0.658683854593602	4.43614545622073	0	0.0276176207510104	-0.137674121135095	-0.0162954174395353	10743.2162502918	-394.213128842809	0	73194.3503120597																					VolKalman	all	brown sauce	all	all	RelDist1	NetSeg	Trend	Seasonality				Price1_daddies	Price1_private label	Price1_restofcategory	1829089.51	291265.21							13.6261522819242	1						
Ridge	convenience	hp	all	all	all	1	PrRelSeg	Segment			0.0232533970825839	0.480283238655836	17.3873178105439	2.76876596018792	-2.95860588757922	-14.6562291666221	0.178115527044457	0.0749452862195884		-0.136526072504558	0.233542269752107			22676.8970660749		rel.D1.wtmean.hp.Cat	6.26804796684596	6.27980770514954	6.26804796684596	uk	2.77396055398935	5972.35646920129	20	-3426.98682503974	-17093.112761337	0.459087296375641	-17.1804990082882	0.889075910998861	0	445.332561712882	-455.995821837577	235.247919382002	5972.35646920129	1.03121779654323	1.02418121613708	463.427948717949	78.5	5923.43846955128	0	0.201018296649182	0.357627124323816	1.18581085796643	-1.12909299629513	4.40896862128049	0	0.0749452862195884	-0.136526072504558	0.233542269752107	9506.32627170144	-1713.49341251987	0	13185.0870455262																					VolKalman	all	brown sauce	all	all	RelDist1	NetSeg	Trend	Seasonality			Seg	Price1_daddies	Price1_private label	Price1_restofcategory	1829089.51	291265.21							17.3873178105439	1						
Ridge	convenience	hp	all	all	all	1	Price	OwnPrice			0.744910635435688	0.37244994732472	13.6044039364677	2.1663726940734	-4.00561876036598	-0.00802166022447652	-0.200665001681164	0.0105630623339923		-0.167758713244464	-0.0506163287624318			6516.11241575675		rel.D1.wtmean.hp.daddies	6.26804796684596	6.27980770514954	6.26804796684596	uk	13.6044039364677	5972.35646920129	25	-790.696390871752	-0.0711216473752734	-0.517207874168238	-9.76345349398428	0.929319596317761	0	10.3579919571817	-101.076796889487	-9.00782093230146	5972.35646920129	6.05111731704009	134.721891585551	463.427948717949	78.5	5923.43846955128	0	1.21811976540984	1.9824823641887	6.71191758369674	-0.641648822562884	4.60853892071237	0	0.0105630623339923	-0.167758713244464	-0.0506163287624318	10756.9530925264	-395.348195435876	0	73170.9674981825																					VolKalman	all	brown sauce	all	all	RelDist2	NetSeg	Trend	Seasonality				Price1_daddies	Price1_private label	Price1_restofcategory	1829089.51	291265.21							13.6044039364677	1						
